Withworth Road Drumcondra Dublin 9,1000,2019-02-05flat-to-share.csv
Shanowen Road Santry Dublin 9,780,2019-02-05flat-to-share.csv
Grove Park Rathmines Dublin 6,720,2019-02-05flat-to-share.csv
1 Stoneybatter Stoneybatter Dublin 7,380,2019-02-05flat-to-share.csv
Brookstone Lodge Brookstone Road Baldoyle Dublin 13,650,2019-02-05flat-to-share.csv
Island Key Apartments East Wall Dublin 3,600,2019-02-05flat-to-share.csv
New Ireland Road 13 Rialto Dublin 8,450,2019-02-05flat-to-share.csv
253 Clogher Road Goldstone Court Crumlin Dublin 12,500,2019-02-05flat-to-share.csv
1A Merton Walk Milltown Dublin 6,800,2019-02-05flat-to-share.csv
21 Melville Terrace Finglas Dublin11 Finglas Dublin 11,500,2019-02-05flat-to-share.csv
Portland Street North Bakers Yard Dublin 1,600,2019-02-05flat-to-share.csv
Castleforbes Square North Wall Co. Dublin,700,2019-02-05flat-to-share.csv
Burnell Square Clarehall Dublin 17,475,2019-02-05flat-to-share.csv
27 North Great Charles Steert Dublin 1,650,2019-02-05flat-to-share.csv
Jones Road Drumcondra Co. Dublin,580,2019-02-05flat-to-share.csv
Jones Road Drumcondra Dublin 3,790,2019-02-05flat-to-share.csv
Mountjoy Square North Dublin 1,700,2019-02-05flat-to-share.csv
64 Rathgar Avenue. D6 Rathgar Dublin 6,510,2019-02-05flat-to-share.csv
Blackrock Market Main Street Blackrock Co. Dublin,750,2019-02-05flat-to-share.csv
Amderfield Verdermont Blanchardstown Dublin 15,700,2019-02-05flat-to-share.csv
Rockfield Dundrum Dublin 14,1000,2019-02-05flat-to-share.csv
22 Aungier Street Dublin 1,390,2019-02-05flat-to-share.csv
Asthfild Road Ranelagh Dublin 6,900,2019-02-05flat-to-share.csv
Bellevue Park Avenue Booterstown Co. Dublin,650,2019-02-05flat-to-share.csv
Abbeyfield Milltown Dublin 6,800,2019-02-05flat-to-share.csv
60 Thomas Street Dublin 8,800,2019-02-05flat-to-share.csv
94 Dorset Street Lower Dublin 1,400,2019-02-05flat-to-share.csv
Close To Tesco Express South Circular Road Dublin 8,850,2019-02-05flat-to-share.csv
2 Belvedere Place Dublin 1,450,2019-02-05flat-to-share.csv
21 Dominick Street Lowet Dublin 1,450,2019-02-05flat-to-share.csv
Spencer Dock Ifsc Dublin 1,956,2019-02-05flat-to-share.csv
Apartment 7 Semple Court Capel Street In,500,2019-02-05flat-to-share.csv
84 Marlborough Street Dublin 1 Dublin 1,700,2019-02-05flat-to-share.csv
11 Gardiner Pl Dublin 1 Dublin 1,880,2019-02-05flat-to-share.csv
Railway Street With Gardner Street Lower Dublin 1,900,2019-02-05flat-to-share.csv
Canon Hall Church Street East Dublin 3 East Wall Dublin 3,1200,2019-02-05flat-to-share.csv
108 Derrynane Square Dorset Street Lower Dublin 7,550,2019-02-05flat-to-share.csv
69 New Cabra Road Phibsboro Cabra Dublin 7,1040,2019-02-05flat-to-share.csv
314 South Circular Road Dublin 8,425,2019-02-05flat-to-share.csv
8 Auburn Villas Rathgar Dublin 6,750,2019-02-05flat-to-share.csv
Blackhorse Bridge Naas Road  Bluebell Dublin 12 Bluebell Dublin 12,730,2019-02-05flat-to-share.csv
46 Grove Park Rathmines Dublin 6,720,2019-02-05flat-to-share.csv
Hogan Avenue Dublin 2,1015,2019-02-05flat-to-share.csv
61 Bolton Street Dublin 1,900,2019-02-05flat-to-share.csv
Grattan Wood Donaghmede Dublin 13,650,2019-02-05flat-to-share.csv
22 Simmons Place Dublin 1,580,2019-02-05flat-to-share.csv
12 Tyrconnell Road Dublin 8,500,2019-02-05flat-to-share.csv
1 Pinewood Avenue Glasnevin Dublin 9,1165,2019-02-05flat-to-share.csv
Withworth Road Drumcondra Dublin 9,1000,2019-02-05flat-to-share.csv
Shanowen Road Santry Dublin 9,780,2019-02-05flat-to-share.csv
Grove Park Rathmines Dublin 6,720,2019-02-05flat-to-share.csv
1 Stoneybatter Stoneybatter Dublin 7,380,2019-02-05flat-to-share.csv
Brookstone Lodge Brookstone Road Baldoyle Dublin 13,650,2019-02-05flat-to-share.csv
Island Key Apartments East Wall Dublin 3,600,2019-02-05flat-to-share.csv
New Ireland Road 13 Rialto Dublin 8,450,2019-02-05flat-to-share.csv
253 Clogher Road Goldstone Court Crumlin Dublin 12,500,2019-02-05flat-to-share.csv
1A Merton Walk Milltown Dublin 6,800,2019-02-05flat-to-share.csv
21 Melville Terrace Finglas Dublin11 Finglas Dublin 11,500,2019-02-05flat-to-share.csv
Portland Street North Bakers Yard Dublin 1,600,2019-02-05flat-to-share.csv
Castleforbes Square North Wall Co. Dublin,700,2019-02-05flat-to-share.csv
Burnell Square Clarehall Dublin 17,475,2019-02-05flat-to-share.csv
27 North Great Charles Steert Dublin 1,650,2019-02-05flat-to-share.csv
Jones Road Drumcondra Co. Dublin,580,2019-02-05flat-to-share.csv
Jones Road Drumcondra Dublin 3,790,2019-02-05flat-to-share.csv
Mountjoy Square North Dublin 1,700,2019-02-05flat-to-share.csv
64 Rathgar Avenue. D6 Rathgar Dublin 6,510,2019-02-05flat-to-share.csv
Blackrock Market Main Street Blackrock Co. Dublin,750,2019-02-05flat-to-share.csv
Amderfield Verdermont Blanchardstown Dublin 15,700,2019-02-05flat-to-share.csv
Rockfield Dundrum Dublin 14,1000,2019-02-05flat-to-share.csv
22 Aungier Street Dublin 1,390,2019-02-05flat-to-share.csv
Asthfild Road Ranelagh Dublin 6,900,2019-02-05flat-to-share.csv
Bellevue Park Avenue Booterstown Co. Dublin,650,2019-02-05flat-to-share.csv
Abbeyfield Milltown Dublin 6,800,2019-02-05flat-to-share.csv
60 Thomas Street Dublin 8,800,2019-02-05flat-to-share.csv
94 Dorset Street Lower Dublin 1,400,2019-02-05flat-to-share.csv
Close To Tesco Express South Circular Road Dublin 8,850,2019-02-05flat-to-share.csv
2 Belvedere Place Dublin 1,450,2019-02-05flat-to-share.csv
21 Dominick Street Lowet Dublin 1,450,2019-02-05flat-to-share.csv
Spencer Dock Ifsc Dublin 1,956,2019-02-05flat-to-share.csv
Apartment 7 Semple Court Capel Street In,500,2019-02-05flat-to-share.csv
84 Marlborough Street Dublin 1 Dublin 1,700,2019-02-05flat-to-share.csv
11 Gardiner Pl Dublin 1 Dublin 1,880,2019-02-05flat-to-share.csv
Railway Street With Gardner Street Lower Dublin 1,900,2019-02-05flat-to-share.csv
Canon Hall Church Street East Dublin 3 East Wall Dublin 3,1200,2019-02-05flat-to-share.csv
108 Derrynane Square Dorset Street Lower Dublin 7,550,2019-02-05flat-to-share.csv
69 New Cabra Road Phibsboro Cabra Dublin 7,1040,2019-02-05flat-to-share.csv
314 South Circular Road Dublin 8,425,2019-02-05flat-to-share.csv
8 Auburn Villas Rathgar Dublin 6,750,2019-02-05flat-to-share.csv
Blackhorse Bridge Naas Road  Bluebell Dublin 12 Bluebell Dublin 12,730,2019-02-05flat-to-share.csv
46 Grove Park Rathmines Dublin 6,720,2019-02-05flat-to-share.csv
Hogan Avenue Dublin 2,1015,2019-02-05flat-to-share.csv
61 Bolton Street Dublin 1,900,2019-02-05flat-to-share.csv
Grattan Wood Donaghmede Dublin 13,650,2019-02-05flat-to-share.csv
22 Simmons Place Dublin 1,580,2019-02-05flat-to-share.csv
12 Tyrconnell Road Dublin 8,500,2019-02-05flat-to-share.csv
1 Pinewood Avenue Glasnevin Dublin 9,1165,2019-02-05flat-to-share.csv
